computer,name,version,publisher
'Left Common Room','REX Inventor','22.0.0.4732','Autodesk, Inc.'
'Left Common Room','RSA Engine','22.0.0.8230','Autodesk, Inc.'
'Left Common Room','Autodesk Inventor Content Center Libraries 2022 (Desktop Content)','26.0.15300.0000','Autodesk,Inc.'
'Left Common Room','blender','3.0.0','Blender Foundation'
'Left Common Room','Corel Graphics - Windows Shell Extension','23.5.0.494','Corel Corporation'
'Left Common Room','Corel Graphics - Windows Shell Extension','23.5.494','Corel Corporation'
'Left Common Room','Corel Graphics - Windows Shell Extension 32 Bit Keys','23.5.494','Corel Corporation'
'Left Common Room','Corel Graphics - Windows Shell Extension 64 Bit Keys','21.0.582','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021','23.2','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021 (64-Bit)','23.5.0.506','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021 - Capture (x64)','23.2','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021 - Common (x64)','23.2','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021 - Custom Data (x64)','23.2','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021 - Discovery (x64)','23.0.1','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021 - Draw (x64)','23.2','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021 - EN (x64)','23.2','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021 - Filters (x64)','23.2','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021 - Font Manager (x64)','23.2','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021 - IPM (x64)','23.2','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021 - IPM Content EN (x64)','23.2','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021 - Models (x64)','23.0.1','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021 - PHOTO-PAINT (x64)','23.2','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021 - Setup Files (x64)','23.2','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021 - VBA (x64)','23.2','Corel Corporation'
'Left Common Room','CorelDRAW Graphics Suite 2021 - Workspaces (x64)','23.2','Corel Corporation'
'Left Common Room','Corel Update Manager','2.15.656','Corel corporation'
'Left Common Room','Sure Cuts A Lot Pro 5.074',None,'Craft Edge'
'Left Common Room','FotoSketcher 3.70',None,'David THOIRON'
'Left Common Room','FreeCAD 0.18.4','0.18.4','FreeCAD Team'
'Left Common Room','Google Chrome','105.0.5195.127','Google LLC'
'Left Common Room','7-Zip 19.00 (x64)','19.00','Igor Pavlov'
'Left Common Room','Inkscape 0.92.4','0.92.4.0','Inkscape project'
'Left Common Room','Mozilla Firefox (x64 en-US)','104.0','Mozilla'
'Left Common Room','Mozilla Maintenance Service','73.0.1','Mozilla'
